object_id,flag
4036954.0,HIGH
5299300.0,HIGH
5313542.0,HIGH
1769069.0,HIGH
8056587.0,HIGH
3230519.0,HIGH
5058762.0,HIGH
5137382.0,HIGH
3400725.0,HIGH
1260833.0,HIGH
2629715.0,HIGH
7310239.0,HIGH
7481733.0,HIGH
8520149.0,HIGH
3166939.0,HIGH
7337561.0,HIGH
4012196.0,HIGH
5255202.0,HIGH
1773903.0,LOW
3152953.0,HIGH
5049062.0,HIGH
8183009.0,HIGH
3073185.0,HIGH
2970181.0,HIGH
3464613.0,HIGH
4702347.0,HIGH
1391371.0,HIGH
4362456.0,HIGH
3148503.0,HIGH
8137447.0,HIGH
3152953.0,HIGH
4840227.0,HIGH
2155048.0,HIGH
3230593.0,HIGH
7478161.0,HIGH
2236248.0,HIGH
3444773.0,HIGH
7195367.0,HIGH
8647363.0,HIGH
1581191.0,HIGH
2612592.0,HIGH
1726115.0,HIGH
1769069.0,HIGH
1258307.0,HIGH
1869635.0,HIGH
4542512.0,HIGH
3263011.0,HIGH
1663717.0,HIGH
3300037.0,HIGH
3493521.0,HIGH
4426708.0,HIGH
7912523.0,HIGH
7349043.0,HIGH
1773903.0,LOW
6052345.0,HIGH
7871809.0,HIGH
5035154.0,MEDIUM
1616935.0,HIGH
2101117.0,HIGH
5274280.0,HIGH
6173891.0,HIGH
3779240.0,HIGH
3124347.0,HIGH
7543391.0,HIGH
4702349.0,HIGH
2512778.0,HIGH
2911997.0,HIGH
2705641.0,HIGH
4774257.0,HIGH
4547398.0,HIGH
4146156.0,HIGH
5452426.0,HIGH
1260795.0,HIGH
5137382.0,HIGH
5919709.0,HIGH
4932035.0,MEDIUM
4755577.0,HIGH
1283031.0,HIGH
2556956.0,HIGH
4497118.0,HIGH
4861403.0,HIGH
6095887.0,HIGH
1980489.0,HIGH
4899389.0,HIGH
6733613.0,HIGH
3914126.0,HIGH
2688887.0,HIGH
8160031.0,HIGH
4437838.0,HIGH
5679304.0,HIGH
8589103.0,HIGH
7639743.0,HIGH
8421975.0,HIGH
2940967.0,HIGH
6778311.0,HIGH
3348317.0,HIGH
5082924.0,HIGH
4908347.0,HIGH
5320708.0,HIGH
3798244.0,HIGH
4710631.0,HIGH
3422745.0,HIGH
1648849.0,HIGH
2951751.0,HIGH
3536039.0,HIGH
708707.0,HIGH
5297952.0,HIGH
3296859.0,HIGH
8209015.0,HIGH
2974165.0,HIGH
7459739.0,HIGH
3536141.0,HIGH
3187353.0,HIGH
6015479.0,HIGH
5127054.0,HIGH
7125243.0,HIGH
3718228.0,HIGH
2008897.0,HIGH
5037806.0,HIGH
2077069.0,HIGH
2681789.0,HIGH
1978975.0,HIGH
7912297.0,HIGH
8383899.0,HIGH
2862403.0,HIGH
4967570.0,HIGH
2951053.0,HIGH
6795165.0,HIGH
2796089.0,HIGH
1666297.0,HIGH
2856839.0,HIGH
7481733.0,HIGH
3823354.0,HIGH
5079306.0,HIGH
6749609.0,HIGH
6244925.0,HIGH
3830024.0,HIGH
1980901.0,HIGH
4890959.0,HIGH
4871295.0,HIGH
2796075.0,HIGH
1725321.0,HIGH
5219258.0,HIGH
7543391.0,HIGH
1948987.0,HIGH
7310239.0,HIGH
1772991.0,HIGH
2556956.0,HIGH
3124347.0,HIGH
4757819.0,HIGH
3948574.0,HIGH
1715285.0,HIGH
8147207.0,HIGH
3233439.0,HIGH
6896423.0,HIGH
4200960.0,HIGH
2638389.0,HIGH
3451793.0,HIGH
4818739.0,HIGH
5296432.0,HIGH
4001916.0,HIGH
8331613.0,HIGH
4679203.0,HIGH
3312197.0,HIGH
2012221.0,HIGH
3536141.0,HIGH
7533341.0,HIGH
4818739.0,HIGH
5835821.0,HIGH
3718670.0,HIGH
855815.0,HIGH
7147275.0,HIGH
5353358.0,HIGH
3450325.0,HIGH
8206781.0,HIGH
2012253.0,HIGH
7633029.0,HIGH
7648277.0,HIGH
4294906.0,HIGH
2911997.0,HIGH
4076134.0,HIGH
5140612.0,HIGH
4601542.0,LOW
8140353.0,HIGH
2256966.0,HIGH
4809819.0,HIGH
2076597.0,HIGH
8623169.0,HIGH
7132695.0,HIGH
4531588.0,HIGH
1270287.0,HIGH
3152953.0,HIGH
3187353.0,HIGH
1208733.0,HIGH
2087871.0,HIGH
4466264.0,HIGH
708707.0,HIGH
6730573.0,HIGH
3096669.0,HIGH
3493521.0,HIGH
5127226.0,HIGH
1260833.0,HIGH
6246287.0,HIGH
1499873.0,MEDIUM
8181263.0,HIGH
4252640.0,HIGH
2796075.0,HIGH
3080497.0,HIGH
2558940.0,HIGH
6583179.0,HIGH
3717614.0,HIGH
527017.0,HIGH
3166545.0,HIGH
4531472.0,HIGH
8622349.0,HIGH
3521423.0,HIGH
1570949.0,HIGH
7366053.0,HIGH
3846978.0,HIGH
2790727.0,HIGH
5087228.0,HIGH
3260195.0,HIGH
8406641.0,HIGH
1782007.0,HIGH
4927319.0,HIGH
4698729.0,HIGH
4757819.0,HIGH
4217976.0,HIGH
3532031.0,HIGH
4312748.0,HIGH
5049062.0,HIGH
8605057.0,HIGH
1911885.0,HIGH
6843157.0,HIGH
6314507.0,HIGH
5050412.0,HIGH
8733435.0,HIGH
3363541.0,HIGH
4621618.0,HIGH
5353358.0,HIGH
4982056.0,HIGH
4296730.0,HIGH
4932035.0,MEDIUM
7187345.0,HIGH
7445711.0,HIGH
3761714.0,HIGH
8231609.0,HIGH
4846259.0,HIGH
2938677.0,HIGH
3535915.0,HIGH
3366647.0,HIGH
1260795.0,HIGH
7087187.0,HIGH
8334383.0,HIGH
7042601.0,HIGH
5035154.0,MEDIUM
2746723.0,HIGH
1283031.0,HIGH
8179703.0,HIGH
8450777.0,HIGH
4296730.0,HIGH
2076597.0,HIGH
7717359.0,HIGH
7164685.0,HIGH
3666182.0,HIGH
3717516.0,HIGH
3045501.0,HIGH
7042601.0,HIGH
3135439.0,HIGH
3425753.0,HIGH
2995431.0,HIGH
4949222.0,HIGH
3296823.0,HIGH
3459395.0,HIGH
3522027.0,HIGH
8088849.0,HIGH
7132695.0,HIGH
6795165.0,HIGH
4588892.0,HIGH
7323965.0,HIGH
2496158.0,HIGH
1701813.0,HIGH
3495107.0,HIGH
8159549.0,HIGH
6072773.0,HIGH
1835653.0,HIGH
1893301.0,HIGH
6669877.0,HIGH
8162415.0,HIGH
3441863.0,HIGH
1283031.0,HIGH
3953702.0,HIGH
3230593.0,HIGH
8627685.0,HIGH
3532031.0,HIGH
8582469.0,HIGH
2172708.0,HIGH
1654189.0,HIGH
8707487.0,HIGH
5062788.0,HIGH
4159448.0,HIGH
4252640.0,HIGH
2101117.0,HIGH
8082701.0,HIGH
2968469.0,HIGH
7633029.0,HIGH
2993451.0,HIGH
7855299.0,HIGH
4759285.0,HIGH
3294985.0,HIGH
1722861.0,HIGH
1386643.0,HIGH
8324175.0,HIGH
3913304.0,HIGH
2745721.0,MEDIUM
1715285.0,HIGH
3536015.0,HIGH
1617157.0,HIGH
8334383.0,HIGH
1728493.0,HIGH
3029685.0,HIGH
8082701.0,HIGH
5255202.0,HIGH
4458724.0,HIGH
8090315.0,HIGH
4754083.0,HIGH
4721511.0,HIGH
1591263.0,HIGH
1656905.0,HIGH
7872005.0,HIGH
4949222.0,HIGH
1363911.0,HIGH
8317051.0,HIGH
5163480.0,HIGH
7484101.0,HIGH
5277918.0,HIGH
3177599.0,HIGH
4944285.0,HIGH
5352552.0,HIGH
1182657.0,HIGH
7478395.0,HIGH
3263011.0,HIGH
3879056.0,HIGH
3104463.0,HIGH
8088783.0,HIGH
6015479.0,HIGH
5296432.0,HIGH
2951751.0,HIGH
1777081.0,MEDIUM
2946985.0,HIGH
1722367.0,HIGH
5037812.0,HIGH
4566422.0,HIGH
6669877.0,HIGH
8375667.0,HIGH
2681789.0,HIGH
1389151.0,HIGH
1616441.0,HIGH
3536217.0,HIGH
4798469.0,HIGH
3414899.0,HIGH
8278791.0,HIGH
2710459.0,HIGH
8005975.0,HIGH
5177448.0,HIGH
2946985.0,HIGH
6896423.0,HIGH
8147207.0,HIGH
2601644.0,HIGH
8308215.0,HIGH
7481733.0,HIGH
4755577.0,HIGH
7489967.0,HIGH
2688887.0,HIGH
5577000.0,HIGH
8375237.0,HIGH
2434952.0,HIGH
6700149.0,HIGH
3060577.0,HIGH
3945138.0,HIGH
2556956.0,HIGH
2968469.0,HIGH
4318388.0,HIGH
6181437.0,HIGH
6049075.0,HIGH
7057657.0,HIGH
1150755.0,HIGH
4571224.0,HIGH
4890959.0,HIGH
5137108.0,HIGH
4001916.0,HIGH
7615525.0,HIGH
1292237.0,HIGH
7091053.0,HIGH
3029685.0,HIGH
1334145.0,HIGH
4759285.0,HIGH
8308215.0,HIGH
2063485.0,HIGH
6583179.0,HIGH
5284686.0,HIGH
8491249.0,HIGH
8308905.0,HIGH
4798469.0,HIGH
6219451.0,HIGH
1461809.0,HIGH
4889699.0,HIGH
8142775.0,HIGH
4902149.0,HIGH
7151227.0,HIGH
3623768.0,HIGH
2001703.0,HIGH
8209015.0,HIGH
3617826.0,HIGH
1666247.0,HIGH
104016.0,HIGH
6673903.0,HIGH
4038488.0,HIGH
4755577.0,HIGH
3423407.0,HIGH
5884257.0,HIGH
4312492.0,HIGH
484847.0,HIGH
1948987.0,HIGH
7340991.0,HIGH
5035112.0,HIGH
6173703.0,HIGH
3444773.0,HIGH
3541859.0,HIGH
2571514.0,HIGH
4938965.0,HIGH
7115263.0,HIGH
4731955.0,HIGH
8198009.0,HIGH
4501184.0,HIGH
7342241.0,HIGH
4658679.0,HIGH
4755577.0,HIGH
7244633.0,HIGH
2656115.0,HIGH
5277950.0,HIGH
4990706.0,HIGH
487871.0,HIGH
5320708.0,HIGH
5082924.0,HIGH
4295488.0,HIGH
3185393.0,HIGH
2609302.0,HIGH
8582469.0,HIGH
8317051.0,HIGH
6299523.0,HIGH
8725199.0,HIGH
2911997.0,HIGH
3090521.0,HIGH
3464783.0,MEDIUM
6778311.0,HIGH
2645191.0,HIGH
